Tempo(s),Erro_X(px),Erro_Y(px),Erro_Z(px),Sinal_Yaw,Sinal_Alt,Sinal_Dist
26.122,54,161,0,21,-40,0
26.203,53,163,0,20,-40,0
26.277,53,164,0,21,-40,0
26.354,54,167,0,22,-40,0
26.424,54,168,0,21,-40,0
26.494,52,168,0,19,-40,0
26.568,50,166,0,18,-40,0
26.636,48,164,0,17,-40,0
26.705,48,164,0,19,-40,0
26.783,44,165,0,15,-40,0
26.853,39,169,0,12,-40,0
26.926,37,172,0,13,-40,0
26.995,33,176,0,10,-40,0
27.066,33,177,0,13,-40,0
27.138,34,177,0,14,-40,0
27.207,33,177,0,12,-40,0
27.28,37,173,0,17,-40,0
27.352,36,168,0,13,-40,0
27.425,39,161,0,17,-40,0
27.498,37,145,0,13,-32,0
27.577,36,132,0,13,-31,0
27.657,36,117,0,14,-25,0
27.857,33,96,0,12,-23,0
27.922,32,73,0,12,-4,0
27.988,35,41,0,16,11,0
28.054,36,17,0,15,13,0
28.123,37,9,0,15,3,0
28.191,37,-13,0,14,20,0
28.257,37,-25,0,14,16,0
28.329,35,-35,0,12,17,0
28.403,31,-43,0,9,18,0
28.467,27,-50,0,7,20,0
28.541,24,-53,0,7,17,0
28.614,21,-59,0,6,21,0
28.677,20,-65,0,7,24,0
28.739,17,-68,0,4,22,0
28.8,16,-71,0,5,23,0
28.872,12,-72,0,2,22,0
28.944,8,-75,0,0,24,0
29.014,-2,-74,0,-7,21,0
29.081,-15,-73,0,-15,21,0
29.15,-33,-72,0,-26,20,0
29.215,-51,-67,0,-34,16,0
29.285,-68,-63,0,-39,16,0
29.354,-85,-60,0,-40,15,0
29.421,-97,-58,0,-40,15,0
29.489,-98,-58,0,-39,17,0
29.561,-93,-58,0,-33,17,0
29.627,-61,-51,0,0,10,0
29.697,-36,-46,0,3,10,0
29.769,-12,-42,0,11,9,0
29.845,13,-38,0,21,8,0
29.918,30,-33,0,23,6,0
29.988,-241,249,0,-40,-40,0
30.057,-233,246,0,-40,-40,0
30.129,-229,245,0,-40,-40,0
30.191,-228,245,0,-40,-40,0
30.261,31,-23,0,40,40,0
30.332,-213,244,0,-40,-40,0
30.403,70,-25,0,40,40,0
30.469,113,-33,0,40,15,0
30.54,117,-35,0,40,11,0
30.613,115,-39,0,40,14,0
30.677,120,-43,0,40,16,0
30.745,128,-49,0,40,19,0
30.816,127,-52,0,40,17,0
30.886,114,-53,0,36,16,0
